50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,461;804;510;179,daytime:morning,37;9.834724,177;9.705427,772;9.514089,552;9.266595,544;9.18042,831;8.932446,161;8.778505,1575;8.771588,396;8.753701,445;8.5548315,360;8.49802,95;8.440026,969;8.432367,656;8.34024,830;8.3320465,4;8.314453,320;8.313593,159;8.294717,1944;8.2774315,218;8.268105,520;8.257359,118;8.223114,1047;8.21734,458;8.164102,235;8.142758,2601;8.104615,176;8.035249,2873;7.94681,686;7.932989,438;7.9023046,1112;7.897781,1252;7.881308,41;7.876459,534;7.869822,280;7.820132,2010;7.086492841638094,1103;6.905021110176151,179;6.657962297536875,2250;5.987939695167113,492;5.638307704387046,3072;5.443099946504091,2365;5.3272785909594065,840;5.215481277303103,703;5.041118077729451,461;4.788111648344886,804;4.739675420382707,510;4.682179774926269,168;4.320501837149471,2735;4.308629276139812,2020;3.6358455978017523
12,2646;1071;821;1789,daytime:evening,600;9.390918,279;9.282106,552;9.266595,544;9.18042,58;9.06998,2275;9.0563135,3548;8.993239,831;8.932446,161;8.778505,396;8.753701,2794;8.557406,445;8.5548315,360;8.49802,84;8.483113,969;8.432367,656;8.34024,830;8.3320465,320;8.313593,159;8.294717,1944;8.2774315,520;8.257359,118;8.223114,1047;8.21734,458;8.164102,1394;8.121375,1350;7.485927602018067,1023;7.344854660401913,3807;7.24920265579865,596;6.903456508299525,2412;6.8015116466611065,585;6.596343054558322,1886;6.3317964626689855,2345;6.23758490097739,239;6.170460601966702,36;5.976597074640861,1021;5.75870224162113,3202;5.6219673041439036,1071;5.304424915884013,3067;5.282022707856604,1619;4.87162132972279,2480;4.725406805079635,2852;4.573169282688654,2009;4.45154617467972,199;4.18584236936555,1541;4.117908303524676,821;4.091193742449317,270;3.842587336020741,1789;3.7653824393711575,3414;3.081182062382424,2646;2.4104902494362994
12,771;758;2887;1547,daytime:afternoon,37;9.834724,177;9.705427,772;9.514089,600;9.390918,279;9.282106,552;9.266595,544;9.18042,58;9.06998,2275;9.0563135,3548;8.993239,831;8.932446,161;8.778505,1575;8.771588,396;8.753701,2794;8.557406,360;8.49802,84;8.483113,95;8.440026,969;8.432367,656;8.34024,4;8.314453,320;8.313593,159;8.294717,1944;8.2774315,218;8.268105,520;8.257359,281;7.728701263495412,1547;7.6248815533384615,386;6.9519261279328886,727;6.915282016356331,1081;6.803382805518856,667;6.744130040487212,1526;6.677710059198176,1686;6.6123650798282245,2887;6.590342896768006,2211;6.516949490869246,3319;6.441002607764588,670;6.239233910911084,758;6.194230224474515,771;6.152414591300586,1833;5.9742164630021115,1131;5.830223928162652,1118;5.81375000759603,1122;5.505898234933442,3710;5.089041170790997,2663;5.032684453668859,2545;4.808096972167344,2021;4.47162816142416,408;3.551661481337468,601;3.548259951815375
12,187;456;459;632,daytime:night,37;9.834724,177;9.705427,772;9.514089,600;9.390918,279;9.282106,544;9.18042,58;9.06998,2275;9.0563135,3548;8.993239,831;8.932446,1575;8.771588,2794;8.557406,445;8.5548315,360;8.49802,84;8.483113,95;8.440026,969;8.432367,830;8.3320465,4;8.314453,218;8.268105,118;8.223114,1047;8.21734,458;8.164102,235;8.142758,1394;8.121375,2601;8.104615,1434;8.05348,176;8.035249,96;7.9712696,2873;7.94681,686;7.932989,438;7.9023046,1112;7.897781,1252;7.881308,245;7.8806787,41;7.876459,456;7.087933309401296,57;6.533196054903809,680;6.448866207221105,2880;6.4475117880681365,187;6.190692303246862,632;6.099181956492013,3352;5.911414452175443,1454;5.826103857619293,459;5.723144157570834,349;5.575239101869312,3692;5.405761822920983,476;4.776708357247317,610;4.309455104884456,1652;3.887646397984425
139,2034;2615;2413;605,daytime:morning,201;8.288754,686;8.123916,1464;7.576832,64;7.4974623,1010;7.489117,57;7.4495068,280;7.3452044,842;7.291252,969;7.2386446,68;7.176459,1086;7.1701784,600;7.147475,445;7.086428,1612;7.0837464,747;7.0780926,1934;7.074383,1531;7.0291476,477;6.934875,1665;6.931725,605;5.955088118516768,333;5.932446642278385,1378;5.540415001718994,281;5.508572281298699,2762;5.022836868790219,2218;4.9864691574483855,2177;4.915004307929853,3753;4.893442584183481,309;4.87170977084628,2413;4.82797964438863,1166;4.796256688061556,678;4.690857612862723,1595;4.653322764709959,2029;4.639941201079429,1190;4.4920664888622275,2034;4.380537490979253,2011;4.167689133724705,2477;4.163340155630373,176;3.992454890807765,1843;3.9318274333500014,2008;3.8354401941018894,1566;3.69640696152449,1942;3.4158844547850458,1739;3.219943389929781,3286;2.842715965393668,2615;2.672447931909095,869;2.517291875918255,594;2.1736390660400597,1167;1.6231166775095007,1671;0.34584182756178905,3771;0.07700890302222618
139,1667;2701;1718;396;2449,daytime:evening,686;8.123916,1464;7.576832,64;7.4974623,57;7.4495068,280;7.3452044,842;7.291252,969;7.2386446,656;7.2125645,1292;7.2056055,68;7.176459,16;7.1049986,747;7.0780926,1934;7.074383,1017;7.0332313,1531;7.0291476,2264;7.0157785,1074;6.8895464,1482;6.8667893,684;6.8664045,2291;6.825383,1913;6.8135605,2275;6.7897315,283;6.7612705,1206;6.7520146,239;6.7509108,1252;6.7296004,1593;6.7247896,235;6.707608,1159;6.659078,2639;6.288240485845942,2449;5.694885368478996,1184;5.635764245380494,1667;5.528970243219218,187;5.523456408492399,2043;5.379749568629432,2;5.257233813294111,544;5.2287898514024285,2701;5.083516510861018,983;4.997726024492563,396;4.584069380186635,1151;4.548098289899325,772;4.295573100089414,1718;4.0158793214749124,1139;3.535273423998455,2596;3.1064565647569884,1054;2.9862182995054245,3713;2.595481822528564,1656;1.257773201169777,3839;0.2357329690386028
139,1192;1327;218;2911,daytime:afternoon,201;8.288754,686;8.123916,1464;7.576832,1010;7.489117,57;7.4495068,280;7.3452044,842;7.291252,969;7.2386446,656;7.2125645,1292;7.2056055,68;7.176459,1086;7.1701784,600;7.147475,16;7.1049986,445;7.086428,1612;7.0837464,747;7.0780926,1934;7.074383,1017;7.0332313,2264;7.0157785,477;6.934875,1665;6.931725,342;6.911868,1074;6.8895464,218;6.262932922047403,2378;6.144484968730383,1523;6.069979143298178,1275;6.056026544059392,1321;5.69188094852476,496;5.690068720199967,127;5.384109435784805,648;5.046238596865518,1327;5.0183459678554705,2460;4.724317343356057,212;4.717325917845778,2236;4.362626435581392,2690;4.263502004783377,1192;4.234668375510838,1329;4.217432617099772,2911;4.159585864998565,1637;4.040500827835725,2211;3.827417616268355,2432;3.801349580572904,3541;3.7123301826704442,1844;3.382283306121481,452;3.3306223815665206,365;3.1397304297021074,2974;3.1160478134257,1197;2.9371131656729723,1778;0.5215858931757085
139,652;1780;1370;2734;92,daytime:night,201;8.288754,686;8.123916,64;7.4974623,1010;7.489117,656;7.2125645,1292;7.2056055,1086;7.1701784,600;7.147475,16;7.1049986,445;7.086428,1612;7.0837464,1017;7.0332313,1531;7.0291476,2264;7.0157785,477;6.934875,1665;6.931725,342;6.911868,1074;6.8895464,1482;6.8667893,684;6.8664045,1283;6.8433375,142;6.8298535,2291;6.825383,2275;6.7897315,283;6.7612705,1206;6.7520146,239;6.7509108,1593;6.7247896,364;6.7169323,235;6.707608,2372;6.6339884,17;6.6140385,933;6.6112666,1948;6.109953541726808,2734;5.672848242823336,3607;5.5094729817342385,1370;5.197101041763928,1780;5.15306586620919,41;5.01820613155129,831;5.007470363936099,1224;4.822505595496381,2005;4.418459461626023,3597;4.121028473680207,92;4.108267473954294,2531;3.6102276820221184,3424;3.563957200231139,407;3.3331659763136123,2368;3.3203727390640236,3005;3.2750354733494524,2840;3.0414115260457013
140,274;2431;2696,daytime:morning,552;9.5058,544;9.434309,177;9.170464,600;8.942812,37;8.811766,652;8.793881,442;8.741338,3548;8.695325,218;8.67734,2275;8.549252,3267;8.503676,41;8.4032755,176;8.368184,1843;8.349771,58;8.341955,458;8.328104,1612;8.3246,396;8.295103,2794;8.290111,245;8.2664585,281;8.207481,392;8.17388,772;8.041961,1079;8.027584,2173;7.91782,1513;7.8811626,3217;6.825464723814106,3679;6.591193718117622,2787;6.440054881297673,1205;6.414928069263109,588;5.970072456166547,761;5.941469996700943,2780;5.92085154004978,518;5.582443833159751,1301;5.265277924138641,3288;5.1926166149398805,549;5.142577549195246,274;4.930069490706557,2682;4.89545774636802,905;4.819008590231363,1917;4.810579958815375,2696;4.528845679336779,1217;4.493609946755598,3034;4.4333900458417945,3789;4.2497627841934165,2431;4.172431377105386,3704;3.930739378968958,299;3.5360254333334327,2855;3.402863147964525,3075;3.205048670773299
140,1622;16;1512;1089;2457,daytime:evening,544;9.434309,279;9.230672,177;9.170464,600;8.942812,37;8.811766,652;8.793881,442;8.741338,3548;8.695325,3267;8.503676,176;8.368184,1843;8.349771,2794;8.290111,281;8.207481,392;8.17388,891;6.7000014494944145,273;6.544629856408684,48;5.878707890887376,2671;5.857855652500687,1428;5.790805729859115,2313;5.774139497573646,16;5.687805378071969,38;5.6376026020569805,1622;5.369478513324544,3018;5.287514814335855,3138;5.280023889262643,207;5.214278350289702,3099;5.09340761674994,432;5.059288831904911,1512;5.054365298793598,3550;4.981013536679349,2457;4.9275353395840265,2393;4.867630850536859,980;4.829688406523999,2786;4.796802700224047,2347;4.750844398915796,1789;4.744093706025185,283;4.647850845719607,1089;4.58970148951199,3752;4.547131321199785,371;4.512141693481627,1528;4.2537640729610064,2102;4.095753608854732,2944;3.995982700938782,643;3.891159896101583,2071;3.7449361235332166,3630;3.650058543996928,2403;3.39159136034735,2335;3.092735034464292,947;3.042925214546169,2605;2.9463031862223383
