50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,1061;1785;2212,daytime:morning,1628;1.0424888,1672;1.0349501,3675;1.0069504,1877;1.0037701,525;1.0027076,3375;1.0021995,1840;1.0017176,1207;1.0016646,1689;1.001452,472;1.0013546,1469;1.0013349,2777;1.0011765,1237;1.0010968,637;1.0010378,539;1.001022,2917;1.0009997,925;1.0009845,952;1.0008769,1984;1.0008307,3212;1.0008132,1824;1.0007929,3797;1.0007257,3671;1.0006418,526;1.0006367,3551;1.0006344,3311;1.0006125,3546;1.0006105,3251;1.0005878,443;1.0005754,1061;1.000205123012012,1257;1.000155351321462,1342;1.0001150042696976,221;1.0001135864687631,2212;1.000086248130792,2118;1.0000838552600289,1785;1.0000815854641738,2853;1.0000721893402402,46;1.0000680509381332,2000;1.0000589044345032,2764;1.0000505990409276,1348;1.0000416232075626,1622;1.0000229979577968,265;1.000008454753484,2950;0.9999937169814479,84;0.9999876159222408,1607;0.9999738629598469,2168;0.999971420035843,741;0.999959731931347,3360;0.9999412458296202,584;0.999887643184687
12,1739;964;578;1934,daytime:evening,1628;1.0424888,1672;1.0349501,3675;1.0069504,1877;1.0037701,525;1.0027076,3375;1.0021995,1840;1.0017176,1207;1.0016646,1689;1.001452,472;1.0013546,1469;1.0013349,2777;1.0011765,1237;1.0010968,600;1.0010505,637;1.0010378,539;1.001022,2917;1.0009997,925;1.0009845,952;1.0008769,1984;1.0008307,3212;1.0008132,1824;1.0007929,3797;1.0007257,3671;1.0006418,1371;1.0001412297814307,2527;1.0001173834048593,262;1.0001172048021032,1513;1.0001043476354974,678;1.0000945513604746,2096;1.0000816248195636,1252;1.000074397517074,438;1.0000636230594375,717;1.0000596483441302,3097;1.0000528338961554,578;1.0000477459668906,177;1.0000460305631433,964;1.000043246155778,1852;1.0000389643120848,2292;1.0000368989712984,1551;1.0000349244309,2682;1.0000285451888642,1934;1.000022333630121,2662;1.0000194028406533,79;1.0000138457137218,2907;0.9999855250587057,1782;0.9999828331468938,1739;0.9999594616590306,2653;0.9999356336894772,2786;0.9999318705046454,446;0.9998879709720522
12,1522;591;1294;580,daytime:afternoon,1628;1.0424888,1672;1.0349501,3675;1.0069504,1877;1.0037701,525;1.0027076,3375;1.0021995,1840;1.0017176,1207;1.0016646,1689;1.001452,472;1.0013546,1469;1.0013349,1237;1.0010968,600;1.0010505,637;1.0010378,539;1.001022,2917;1.0009997,925;1.0009845,952;1.0008769,1984;1.0008307,3212;1.0008132,1824;1.0007929,3797;1.0007257,3671;1.0006418,1066;1.000141496802491,2612;1.0001220009572265,1654;1.0001133044707713,1294;1.0001057598897607,258;1.0001009305966626,761;1.0000888462555182,1781;1.0000795923714683,580;1.0000755836675463,3775;1.0000722541033231,591;1.0000649337069518,1522;1.0000637097044327,2473;1.0000583058009882,865;1.0000501148498955,2628;1.0000488394453326,994;1.000043852396199,643;1.0000403185202302,41;1.0000364108491275,1082;1.0000280592483228,1283;1.0000203641009753,3282;1.000016112980511,2564;0.9999858611328856,720;0.9999718610302255,1151;0.9999711229121591,1563;0.9999710299612853,1112;0.9999647696082077,144;0.9999506178164118,926;0.9998077583700121
12,1539;552;3769,daytime:night,1628;1.0424888,1672;1.0349501,3675;1.0069504,1877;1.0037701,525;1.0027076,3375;1.0021995,1840;1.0017176,1207;1.0016646,1689;1.001452,472;1.0013546,1469;1.0013349,2777;1.0011765,1237;1.0010968,600;1.0010505,637;1.0010378,539;1.001022,2917;1.0009997,925;1.0009845,952;1.0008769,1984;1.0008307,3212;1.0008132,1824;1.0007929,3797;1.0007257,3671;1.0006418,526;1.0006367,3551;1.0006344,3311;1.0006125,3546;1.0006105,3251;1.0005878,443;1.0005754,2487;1.0005696,2972;1.000569,2695;1.0005682,1248;1.000568,26;1.0005401,224;1.0005294,2571;1.0005133,2429;1.0005131,1539;1.0001111057515102,1437;1.0000961776820556,3374;1.0000629224752935,462;1.0000572422481455,3268;1.0000508000095762,3769;1.0000451547755618,552;1.0000272603051183,2032;1.000005134067384,207;0.9999748069355048,1180;0.9999601327349528,2818;0.9999496931647994,331;0.9999315195678746
139,2582;2913;3128,daytime:morning,1628;1.0425274,1672;1.0349009,3675;1.0069147,1877;1.0036701,525;1.0026721,3375;1.0021006,1840;1.001687,1207;1.001652,1689;1.0013614,1469;1.0012671,472;1.001249,2777;1.0012323,1237;1.001053,637;1.0009365,600;1.0009359,2917;1.0009316,539;1.0009196,925;1.0008767,3212;1.0008231,952;1.0007955,1824;1.0007696,3797;1.0007617,1984;1.0007463,3546;1.0006107,3671;1.0006068,3551;1.0005833,1449;1.0000863859431333,1194;1.0000285230681754,2262;1.0000204254970182,172;1.0000196450247607,2905;1.000012638776088,2272;1.000009340797335,2582;1.000006918947516,56;1.000003365378262,238;0.9999887221296593,1683;0.999985048629732,2913;0.9999796505586335,2102;0.9999794161332095,1087;0.9999706039573016,3128;0.999970331076405,1423;0.9999678374036794,1312;0.9999613141783555,2130;0.9999582013988092,1690;0.9999578167113379,2322;0.9999577483782405,674;0.9999532543725892,848;0.9999522763558302,2536;0.9999375374384467,84;0.9999198194752442,656;0.9996850448681172
139,3710;1276;1010,daytime:evening,1628;1.0425274,1672;1.0349009,3675;1.0069147,1877;1.0036701,525;1.0026721,3375;1.0021006,1840;1.001687,1207;1.001652,1689;1.0013614,1469;1.0012671,472;1.001249,2777;1.0012323,1237;1.001053,637;1.0009365,2917;1.0009316,539;1.0009196,925;1.0008767,3212;1.0008231,952;1.0007955,1824;1.0007696,3797;1.0007617,1984;1.0007463,3546;1.0006107,3671;1.0006068,3551;1.0005833,2487;1.000549,248;1.0000363298114674,3733;1.0000358305200632,1434;1.0000292708676857,2387;1.0000287385288438,1259;1.0000111279139092,2434;1.0000062659249063,3394;1.0000035514753225,2934;0.9999984627541265,2893;0.9999976146072723,1010;0.9999963726950952,1821;0.9999944679252929,1246;0.999992443327245,201;0.9999866891383314,1276;0.999984135817086,2103;0.9999831784794484,1752;0.999976365444852,727;0.9999647051066529,2902;0.9999638891785366,2852;0.9999555108477877,1829;0.9999471118080663,3679;0.9999335137192201,1283;0.9999132525194934,3710;0.9999118321479065,1666;0.9999108405714241
139,1112;1526;2340;673,daytime:afternoon,1628;1.0425274,1672;1.0349009,3675;1.0069147,1877;1.0036701,525;1.0026721,3375;1.0021006,1840;1.001687,1207;1.001652,1689;1.0013614,1469;1.0012671,472;1.001249,2777;1.0012323,1237;1.001053,637;1.0009365,600;1.0009359,2917;1.0009316,539;1.0009196,925;1.0008767,3212;1.0008231,952;1.0007955,1824;1.0007696,3797;1.0007617,1984;1.0007463,3546;1.0006107,710;1.0002326115103752,1800;1.000050134354123,1526;1.0000298810720611,190;1.0000227512852797,673;1.0000187013162138,621;1.0000149084286187,1766;1.000005995815479,2125;1.0000023559753408,3594;1.0000017515166046,2340;0.9999953678985406,1430;0.9999892644318886,2505;0.9999832849750963,1189;0.9999815122911655,2558;0.9999706401935502,135;0.9999687471277302,2003;0.9999663029656107,1436;0.9999658088791182,2491;0.9999634587790763,3388;0.999961704167387,2920;0.9999578801185109,1112;0.9999483791963639,2310;0.9999314941938159,3641;0.9999216248346346,635;0.9998590936095815,64;0.9998074325052272,1655;0.9993711818663911
139,384;73;3609,daytime:night,1628;1.0425274,1672;1.0349009,3675;1.0069147,1877;1.0036701,525;1.0026721,3375;1.0021006,1840;1.001687,1207;1.001652,1689;1.0013614,1469;1.0012671,472;1.001249,2777;1.0012323,1237;1.001053,637;1.0009365,600;1.0009359,2917;1.0009316,539;1.0009196,925;1.0008767,3212;1.0008231,952;1.0007955,1824;1.0007696,3797;1.0007617,1984;1.0007463,3546;1.0006107,3671;1.0006068,3551;1.0005833,73;1.000211818182709,3290;1.000036144310206,161;1.0000340102774024,1252;1.000016635900228,3384;1.0000120167352045,225;1.0000085316461567,2970;1.0000066631735134,3609;1.0000066002878891,944;1.0000010538694115,2927;0.9999949461657679,1214;0.9999931692764907,2501;0.999987369049414,384;0.9999847140722448,2269;0.9999829785952501,923;0.9999757982701186,2311;0.9999757483326331,2677;0.9999679875880679,2124;0.9999634214748503,233;0.9999608915196057,268;0.9999581287859064,321;0.9999460378683284,1464;0.9999457925381308,114;0.9999442157566392,1140;0.9999204059836273
140,394;2087;1866,daytime:morning,1628;1.0426097,1672;1.034968,3675;1.0069375,1877;1.0036945,525;1.0027423,3375;1.0021216,1840;1.0017312,1207;1.0017136,1689;1.0013853,472;1.0013263,1469;1.0013219,2777;1.0013151,1237;1.0010967,600;1.0009906,2917;1.0009879,539;1.0009327,3212;1.000914,925;1.000887,3797;1.0008401,1824;1.0008289,952;1.0008252,1984;1.0007955,3546;1.0006661,3671;1.000659,3551;1.0006489,2972;1.0006322,443;1.000622,3190;1.0006115,57;1.0001191443125932,592;1.0001096091438988,2494;1.0001080968098737,1434;1.000102536085646,1342;1.0000974132430511,394;1.0000854142726667,3131;1.0000535011078373,2087;1.0000523903245884,2865;1.0000505535463626,3202;1.0000429536934605,2965;1.0000410687884422,1595;1.0000328659134015,589;1.0000264275781172,1866;1.0000259598781842,1833;1.0000255183078552,1477;1.0000176519820603,855;1.0000083593186209,279;0.9999940047479217,349;0.9999867941364836,1818;0.9999675619004719,1000;0.999964575556982,3049;0.9998956582778088
140,2168;36;3436,daytime:evening,1628;1.0426097,1672;1.034968,3675;1.0069375,1877;1.0036945,525;1.0027423,2773;1.000196849857163,2931;1.000142241801273,3284;1.0001406184648463,2075;1.0001207020863088,2382;1.0001051252244764,1090;1.000096330052922,3103;1.0000941573937014,1484;1.0000932106329714,3209;1.000088488411846,2576;1.0000880167055868,3436;1.0000878293556719,1100;1.0000821535817728,36;1.0000811489549088,669;1.0000670457085226,1754;1.0000665779963092,2730;1.0000641287330687,2932;1.0000624915495424,2;1.0000624762296335,1747;1.0000580827152545,3701;1.0000572714449152,41;1.000053107316514,535;1.0000530766021247,2144;1.0000490391535446,184;1.000048039727325,146;1.0000468116765235,707;1.0000463411502334,2129;1.000035516275907,201;1.000034779090439,109;1.0000331152334578,892;1.0000277406227291,1837;1.0000189922119518,2948;1.0000171347709172,968;1.0000126476234572,598;1.0000116652001307,2082;1.000006147512015,1240;1.000004337129288,373;0.9999981296665642,1485;0.9999888052630128,2693;0.9999759311704236,2578;0.9999716255274448,2116;0.9999500949664244,1445;0.9999313618951101,1320;0.9999206335289603,2168;0.9999142756442664,3361;0.999857326818384
