10
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1026,699;290,drivingstyle:relaxed driving,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,290;3.1,699;2.694444444444444
1026,686,weather:snowing;mood:sad;landscape:urban,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,686;2.5625
1026,747,trafficconditions:traffic jam;naturalphenomena:afternoon;landscape:mountains,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,747;2.1666666666666665
1026,692,weather:cloudy,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,692;2.1666666666666665
1026,761,weather:snowing;mood:lazy,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,761;2.5
1026,762,roadtype:city;landscape:coast line,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,762;1.7
1026,286,trafficconditions:traffic jam,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,286;2.5833333333333335
1019,685,drivingstyle:relaxed driving,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,685;2.4
1019,293,weather:sunny;trafficconditions:traffic jam;naturalphenomena:day time;mood:sad;landscape:country side;drivingstyle:sport driving,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,293;2.1666666666666665
1019,251,weather:cloudy;sleepiness:awake;mood:sad,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,251;3.0
1019,277,weather:rainy;roadtype:city;mood:lazy,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,277;3.125
1019,280,weather:sunny;trafficconditions:lots of cars,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,280;2.5
1019,292,weather:sunny;drivingstyle:sport driving,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,292;3.5
1019,748,naturalphenomena:day time;mood:happy,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,748;1.8
1019,297,roadtype:highway;naturalphenomena:day time;mood:active,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,297;1.5
1019,255,weather:rainy;sleepiness:sleepy;roadtype:city;naturalphenomena:afternoon,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,255;2.357142857142857
1019,273,trafficconditions:lots of cars;sleepiness:awake;landscape:coast line;drivingstyle:sport driving,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,273;3.0370370370370368
1019,719;759;722,trafficconditions:free road,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,719;2.5833333333333335,722;2.4722222222222223,759;1.5625
1019,256,trafficconditions:traffic jam,283;4.1666665,248;4.0833335,260;4.0,266;3.9285715,289;3.8333333,689;3.75,749;3.6666667,263;3.642857,267;3.6,256;1.8125
