userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,251,trafficconditions:lots of cars,699;3.75,753;3.75,691;3.75,736;3.75,719;3.75,762;3.75,277;3.75,757;3.75,296;3.75,735;3.75,690;3.75,732;3.75,276;3.75,278;3.75,739;3.75,748;3.75,714;3.75,725;3.75,274;3.75,679;3.75
1026,282,sleepiness:sleepy;mood:sad,699;2.7192984,753;2.7192984,691;2.7192984,736;2.7192984,719;2.7192984,762;2.7192984,277;2.7192984,757;2.7192984,296;2.7192984,735;2.7192984,690;2.7192984,732;2.7192984,276;2.7192984,278;2.7192984,739;2.7192984,748;2.7192984,714;2.7192984,253;2.7192984,725;2.7192984,274;2.7192984
1019,722,trafficconditions:free road,699;2.3859649,753;2.3859649,691;2.3859649,736;2.3859649,762;2.3859649,277;2.3859649,757;2.3859649,296;2.3859649,735;2.3859649,690;2.3859649,732;2.3859649,276;2.3859649,278;2.3859649,739;2.3859649,748;2.3859649,714;2.3859649,253;2.3859649,725;2.3859649,274;2.3859649,679;2.3859649
1019,280,weather:sunny;trafficconditions:lots of cars,699;2.3859649,753;2.3859649,691;2.3859649,736;2.3859649,719;2.3859649,762;2.3859649,277;2.3859649,757;2.3859649,296;2.3859649,735;2.3859649,690;2.3859649,732;2.3859649,276;2.3859649,278;2.3859649,739;2.3859649,748;2.3859649,714;2.3859649,253;2.3859649,725;2.3859649,274;2.3859649
1019,708,naturalphenomena:night,699;2.3859649,753;2.3859649,691;2.3859649,736;2.3859649,719;2.3859649,762;2.3859649,277;2.3859649,757;2.3859649,296;2.3859649,735;2.3859649,690;2.3859649,732;2.3859649,276;2.3859649,278;2.3859649,739;2.3859649,748;2.3859649,714;2.3859649,253;2.3859649,725;2.3859649,274;2.3859649
1019,265,weather:cloudy;sleepiness:awake;naturalphenomena:morning,699;2.3859649,753;2.3859649,691;2.3859649,736;2.3859649,719;2.3859649,762;2.3859649,277;2.3859649,757;2.3859649,296;2.3859649,735;2.3859649,690;2.3859649,732;2.3859649,276;2.3859649,278;2.3859649,739;2.3859649,748;2.3859649,714;2.3859649,253;2.3859649,725;2.3859649,274;2.3859649
1019,296,trafficconditions:free road;naturalphenomena:day time;landscape:country side,699;2.3859649,753;2.3859649,691;2.3859649,736;2.3859649,719;2.3859649,762;2.3859649,277;2.3859649,757;2.3859649,296;2.3859649,735;2.3859649,690;2.3859649,732;2.3859649,276;2.3859649,278;2.3859649,739;2.3859649,748;2.3859649,714;2.3859649,253;2.3859649,725;2.3859649,274;2.3859649
1032,727,landscape:coast line,699;2.4215686,753;2.4215686,691;2.4215686,736;2.4215686,719;2.4215686,762;2.4215686,277;2.4215686,757;2.4215686,296;2.4215686,735;2.4215686,690;2.4215686,732;2.4215686,276;2.4215686,278;2.4215686,739;2.4215686,748;2.4215686,714;2.4215686,253;2.4215686,725;2.4215686,274;2.4215686
1032,742,naturalphenomena:day time,699;2.4215686,753;2.4215686,691;2.4215686,736;2.4215686,719;2.4215686,762;2.4215686,277;2.4215686,757;2.4215686,296;2.4215686,735;2.4215686,690;2.4215686,732;2.4215686,276;2.4215686,278;2.4215686,739;2.4215686,748;2.4215686,714;2.4215686,253;2.4215686,725;2.4215686,274;2.4215686
1040,700,mood:happy,699;2.7666667,753;2.7666667,691;2.7666667,736;2.7666667,719;2.7666667,762;2.7666667,277;2.7666667,757;2.7666667,296;2.7666667,735;2.7666667,690;2.7666667,732;2.7666667,276;2.7666667,278;2.7666667,739;2.7666667,748;2.7666667,714;2.7666667,253;2.7666667,725;2.7666667,274;2.7666667
1012,286,weather:cloudy;drivingstyle:sport driving,699;1.9538461,753;1.9538461,691;1.9538461,736;1.9538461,719;1.9538461,762;1.9538461,277;1.9538461,757;1.9538461,296;1.9538461,735;1.9538461,690;1.9538461,732;1.9538461,276;1.9538461,278;1.9538461,739;1.9538461,748;1.9538461,714;1.9538461,253;1.9538461,725;1.9538461,274;1.9538461
1009,251,weather:snowing,699;2.1666667,753;2.1666667,691;2.1666667,736;2.1666667,719;2.1666667,762;2.1666667,277;2.1666667,757;2.1666667,296;2.1666667,735;2.1666667,690;2.1666667,732;2.1666667,276;2.1666667,278;2.1666667,739;2.1666667,748;2.1666667,714;2.1666667,253;2.1666667,725;2.1666667,274;2.1666667
1033,755;290,landscape:coast line,699;2.7192984,753;2.7192984,691;2.7192984,736;2.7192984,719;2.7192984,762;2.7192984,277;2.7192984,757;2.7192984,296;2.7192984,735;2.7192984,690;2.7192984,732;2.7192984,278;2.7192984,739;2.7192984,748;2.7192984,714;2.7192984,253;2.7192984,725;2.7192984,274;2.7192984,679;2.7192984
1033,292,landscape:mountains,699;2.7192984,753;2.7192984,691;2.7192984,736;2.7192984,719;2.7192984,762;2.7192984,277;2.7192984,757;2.7192984,296;2.7192984,735;2.7192984,690;2.7192984,732;2.7192984,276;2.7192984,278;2.7192984,739;2.7192984,748;2.7192984,714;2.7192984,253;2.7192984,274;2.7192984,679;2.7192984
1033,736,trafficconditions:free road,699;2.7192984,753;2.7192984,691;2.7192984,736;2.7192984,719;2.7192984,762;2.7192984,277;2.7192984,757;2.7192984,296;2.7192984,735;2.7192984,690;2.7192984,732;2.7192984,276;2.7192984,278;2.7192984,739;2.7192984,714;2.7192984,253;2.7192984,725;2.7192984,274;2.7192984,679;2.7192984
