userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,291,landscape:coast line,264;5.705972,734;5.4181285,257;5.3546715,275;5.1867485,289;5.060441,248;4.924352,754;4.833553,695;4.685537,273;4.6831355,249;4.6699867,753;4.6273713,270;4.578755,293;4.5575233,263;4.5385027,291;4.5046005,747;4.491437,252;4.440689,250;4.4139047,256;4.4081225,719;4.3997016
1018,684,mood:happy,734;4.1488976,738;3.8585026,753;3.7337224,713;3.5333781,696;3.522162,270;3.4492567,754;3.4413333,735;3.3618433,687;3.3227458,741;3.3202565,762;3.3121243,674;3.3010166,686;3.2864022,675;3.2361515,695;3.235073,701;3.2310054,691;3.1796806,714;3.1618247,732;3.1471233,683;3.1150866
1019,712,drivingstyle:relaxed driving,249;3.6872964,290;3.63623,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996,283;3.037296
1019,291,weather:snowing;trafficconditions:lots of cars;mood:sad;drivingstyle:sport driving,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,265,sleepiness:sleepy,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,259,weather:cloudy;roadtype:highway;naturalphenomena:morning;mood:active;landscape:coast line,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,288,landscape:coast line;drivingstyle:relaxed driving,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,716,naturalphenomena:afternoon,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,722,naturalphenomena:morning;mood:active,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,274,weather:rainy;sleepiness:awake;drivingstyle:relaxed driving,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,256,mood:sad,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,250,weather:rainy;roadtype:city,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1019,260,weather:cloudy;trafficconditions:free road;naturalphenomena:night;landscape:mountains,249;3.6872964,290;3.63623,720;3.3989675,276;3.3742354,255;3.3575633,254;3.3520365,258;3.308473,760;3.2856817,250;3.2685513,689;3.2325485,263;3.204006,295;3.1997294,289;3.184562,703;3.164854,253;3.1645226,291;3.1555846,721;3.149799,287;3.09214,708;3.0707867,277;3.0579996
1032,684,weather:sunny;naturalphenomena:day time,677;4.91224,290;4.8975005,750;4.5527997,720;4.450914,702;4.138469,258;4.1344395,263;4.119028,295;3.919069,248;3.854689,292;3.735188,687;3.6593673,746;3.6563098,760;3.647073,291;3.6434686,745;3.6163511,289;3.6103246,257;3.5631413,254;3.5599194,264;3.5485885,689;3.537603
1040,255,sleepiness:sleepy,678;4.237421,734;4.1959066,711;3.8777626,717;3.8286207,705;3.7483788,270;3.642629,683;3.622441,726;3.5900195,715;3.5650473,701;3.5589926,758;3.4956536,687;3.4879997,739;3.4863286,281;3.48026,728;3.478554,740;3.4565566,700;3.451796,741;3.386793,735;3.3838615,729;3.3676124
1012,746,weather:cloudy;sleepiness:awake;naturalphenomena:night,263;3.9254932,248;3.64336,297;3.5334296,295;3.5146196,289;3.3479075,277;3.2549977,290;3.2353454,249;3.2224617,255;3.2092564,258;3.0262983,254;2.9772003,760;2.9319923,703;2.92964,267;2.8371794,293;2.7946906,702;2.7918136,253;2.7598693,287;2.757069,274;2.7454586,276;2.7085955
1012,283,roadtype:highway,263;3.9254932,248;3.64336,297;3.5334296,295;3.5146196,289;3.3479075,277;3.2549977,290;3.2353454,249;3.2224617,255;3.2092564,254;2.9772003,760;2.9319923,703;2.92964,267;2.8371794,293;2.7946906,702;2.7918136,253;2.7598693,287;2.757069,274;2.7454586,276;2.7085955,257;2.694447
1009,253,trafficconditions:lots of cars;naturalphenomena:night,289;4.516627,248;4.418906,689;4.294649,257;4.0933013,296;3.9496665,249;3.8951766,276;3.6835022,290;3.6799674,720;3.5450408,283;3.5367599,252;3.4406614,254;3.4209676,255;3.4147604,250;3.405299,267;3.38617,703;3.335046,293;3.3167765,292;3.2830617,263;3.2237675,253;3.2165709
1009,273,weather:cloudy;sleepiness:awake,289;4.516627,248;4.418906,689;4.294649,257;4.0933013,296;3.9496665,249;3.8951766,276;3.6835022,290;3.6799674,720;3.5450408,283;3.5367599,252;3.4406614,254;3.4209676,255;3.4147604,250;3.405299,267;3.38617,703;3.335046,293;3.3167765,292;3.2830617,263;3.2237675,253;3.2165709
1009,277,weather:sunny,289;4.516627,248;4.418906,689;4.294649,257;4.0933013,296;3.9496665,249;3.8951766,276;3.6835022,290;3.6799674,720;3.5450408,283;3.5367599,252;3.4406614,254;3.4209676,255;3.4147604,250;3.405299,267;3.38617,703;3.335046,293;3.3167765,292;3.2830617,263;3.2237675,253;3.2165709
1033,690,sleepiness:sleepy,289;5.0834785,290;4.9935536,689;4.523173,263;4.5160065,248;4.4610586,266;4.100423,276;4.078923,720;3.9991794,295;3.980108,292;3.970539,255;3.794519,267;3.7717133,293;3.76945,249;3.708244,283;3.6864042,253;3.6386917,250;3.6276104,297;3.571372,258;3.560783,296;3.5505512
