User, Item, Rating, daytime:evening, daytime:night, daytime:afternoon, daytime:morning
52,4960,1,0,0,0,1
20,396,1,1,0,0,0
323,2834,1,1,0,0,0
182,4580,1,0,1,0,0
9,3817,1,0,1,0,0
183,535,1,0,1,0,0
154,5910,1,0,0,0,1
210,2795,1,0,0,1,0
2,5146,1,0,0,1,0
109,3761,1,0,0,1,0
127,3322,1,0,0,1,0
128,1738,1,0,0,0,1
20,4967,1,0,1,0,0
128,37,1,1,0,0,0
42,533,1,0,0,1,0
128,6141,1,0,0,1,0
25,2372,1,0,1,0,0
99,3019,1,0,1,0,0
249,384,1,1,0,0,0
298,1331,1,0,0,0,1
250,6638,1,1,0,0,0
285,1316,1,0,0,0,1
305,661,1,0,0,0,1
192,3975,1,1,0,0,0
62,1682,1,0,0,0,1
185,6341,1,0,0,0,1
316,409,1,1,0,0,0
270,2359,1,1,0,0,0
229,1809,1,0,0,0,1
43,2199,1,0,1,0,0
130,1404,1,1,0,0,0
92,5911,1,0,1,0,0
92,3754,1,1,0,0,0
109,2109,1,0,1,0,0
305,3132,1,0,0,1,0
278,6095,1,0,0,1,0
185,6487,1,1,0,0,0
165,1387,1,0,0,0,1
194,4704,1,0,0,0,1
120,4312,1,0,0,1,0
194,2547,1,1,0,0,0
149,5197,1,0,1,0,0
287,2155,1,0,0,1,0
288,5094,1,1,0,0,0
107,5444,1,1,0,0,0
280,3515,1,0,0,1,0
274,6684,1,1,0,0,0
263,3881,1,0,1,0,0
57,3016,1,0,0,0,1
268,250,1,0,1,0,0
138,5140,1,0,0,1,0
270,6423,1,0,1,0,0
284,757,1,0,1,0,0
243,488,1,0,0,1,0
268,2667,1,0,0,1,0
20,646,1,1,0,0,0
192,6867,1,0,0,1,0
299,488,1,1,0,0,0
262,4569,1,0,1,0,0
82,2968,1,1,0,0,0
296,321,1,0,0,0,1
9,3171,1,0,1,0,0
316,3189,1,0,1,0,0
151,4404,1,0,1,0,0
217,4577,1,0,1,0,0
270,2213,1,0,0,0,1
6,923,1,0,0,0,1
11,3232,1,0,1,0,0
123,4276,1,0,0,0,1
176,1298,1,0,0,1,0
20,250,1,0,0,0,1
274,184,1,0,0,1,0
42,679,1,0,0,0,1
150,420,1,1,0,0,0
100,7023,1,0,0,1,0
260,5267,1,1,0,0,0
258,469,1,1,0,0,0
250,1193,1,0,1,0,0
284,5959,1,0,1,0,0
88,5745,1,0,1,0,0
42,1167,1,1,0,0,0
115,5537,1,0,0,0,1
87,5568,1,1,0,0,0
22,1236,1,0,0,1,0
30,3570,1,1,0,0,0
149,4712,1,0,1,0,0
149,900,1,0,0,1,0
268,646,1,1,0,0,0
92,1451,1,0,1,0,0
221,4863,1,1,0,0,0
316,5096,1,0,0,0,1
167,2116,1,0,0,0,1
305,4117,1,0,0,0,1
218,938,1,0,0,1,0
131,1477,1,1,0,0,0
150,6134,1,0,1,0,0
280,6407,1,0,0,1,0
42,1897,1,0,0,0,1
43,771,1,0,1,0,0
133,1951,1,0,0,0,1
231,3492,1,1,0,0,0
268,3985,1,1,0,0,0
109,6903,1,0,1,0,0
148,3946,1,1,0,0,0
148,6192,1,0,1,0,0
245,6029,1,0,0,0,1
284,5229,1,1,0,0,0
25,5514,1,1,0,0,0
233,5686,1,0,0,1,0
270,6173,1,0,0,0,1
128,2327,1,0,0,0,1
306,1298,1,0,0,0,1
2,2984,1,0,1,0,0
244,366,1,0,0,1,0
242,4971,1,0,1,0,0
26,3654,1,1,0,0,0
30,4,1,0,0,0,1
47,1125,1,0,0,1,0
263,4720,1,0,1,0,0
282,5339,1,0,0,1,0
192,4564,1,1,0,0,0
265,745,1,0,0,1,0
232,5389,1,0,1,0,0
24,2445,1,1,0,0,0
6,1300,1,1,0,0,0
292,937,1,0,1,0,0
48,1568,1,0,0,1,0
263,6439,1,1,0,0,0
154,3779,1,1,0,0,0
212,88,1,0,1,0,0
34,499,1,0,0,0,1
186,2454,1,1,0,0,0
30,6712,1,1,0,0,0
277,33,1,0,0,0,1
154,5660,1,0,0,0,1
62,2391,1,1,0,0,0
258,7002,1,0,0,0,1
240,56,1,1,0,0,0
305,327,1,0,0,0,1
257,6237,1,0,0,1,0
172,1011,1,0,0,0,1
149,1820,1,0,0,1,0
280,581,1,0,0,0,1
