UserID,ItemID,Rating,Dimension,Condition
1,1,1,DayTime,night
2,2,1,DayTime,evening
3,3,1,DayTime,night
4,4,1,DayTime,evening
5,5,1,DayTime,night
6,6,1,DayTime,night
7,7,1,DayTime,night
8,8,1,DayTime,evening
9,9,1,DayTime,night
5,10,1,DayTime,night
10,11,1,DayTime,night
11,12,1,DayTime,night
12,13,1,DayTime,afternoon
5,14,1,DayTime,night
1,15,1,DayTime,night
13,16,1,DayTime,night
14,17,1,DayTime,night
2,18,1,DayTime,evening
5,19,1,DayTime,night
15,20,1,DayTime,afternoon
5,21,1,DayTime,night
10,22,1,DayTime,night
16,23,1,DayTime,morning
5,24,1,DayTime,night
5,25,1,DayTime,night
17,26,1,DayTime,night
18,27,1,DayTime,morning
5,28,1,DayTime,night
19,29,1,DayTime,morning
20,30,1,DayTime,night
21,31,1,DayTime,evening
5,4,1,DayTime,night
22,32,1,DayTime,evening
5,33,1,DayTime,night
23,34,1,DayTime,night
5,35,1,DayTime,night
8,36,1,DayTime,night
24,37,1,DayTime,evening
5,38,1,DayTime,night
25,39,1,DayTime,night
5,40,1,DayTime,night
18,41,1,DayTime,morning
1,42,1,DayTime,morning
5,43,1,DayTime,night
26,44,1,DayTime,morning
15,45,1,DayTime,afternoon
27,46,1,DayTime,night
5,47,1,DayTime,night
28,48,1,DayTime,morning
5,49,1,DayTime,night
5,50,1,DayTime,night
1,51,1,DayTime,morning
22,52,1,DayTime,evening
29,53,1,DayTime,morning
30,54,1,DayTime,evening
31,55,1,DayTime,night
19,56,1,DayTime,morning
5,57,1,DayTime,night
5,58,1,DayTime,night
32,59,1,DayTime,morning
4,60,1,DayTime,evening
27,61,1,DayTime,night
5,62,1,DayTime,night
33,63,1,DayTime,morning
22,64,1,DayTime,evening
15,10,1,DayTime,afternoon
17,65,1,DayTime,night
5,66,1,DayTime,night
34,67,1,DayTime,morning
35,68,1,DayTime,morning
36,69,1,DayTime,morning
19,70,1,DayTime,morning
5,71,1,DayTime,night
25,72,1,DayTime,night
14,73,1,DayTime,night
37,74,1,DayTime,morning
38,75,1,DayTime,morning
35,76,1,DayTime,morning
10,77,1,DayTime,night
28,78,1,DayTime,morning
15,79,1,DayTime,afternoon
12,80,1,DayTime,afternoon
37,81,1,DayTime,morning
39,82,1,DayTime,morning
10,83,1,DayTime,night
40,84,1,DayTime,morning
32,85,1,DayTime,morning
23,86,1,DayTime,night
15,87,1,DayTime,afternoon
19,88,1,DayTime,morning
10,89,1,DayTime,night
41,90,1,DayTime,night
42,91,1,DayTime,evening
43,92,1,DayTime,morning
15,93,1,DayTime,afternoon
35,94,1,DayTime,morning
12,95,1,DayTime,afternoon
12,96,1,DayTime,afternoon
10,97,1,DayTime,night
38,98,1,DayTime,morning
18,99,1,DayTime,morning
25,100,1,DayTime,night
14,101,1,DayTime,night
17,102,1,DayTime,night
10,103,1,DayTime,night
44,104,1,DayTime,afternoon
21,105,1,DayTime,evening
43,106,1,DayTime,morning
23,107,1,DayTime,night
31,108,1,DayTime,night
29,109,1,DayTime,morning
10,110,1,DayTime,night
45,111,1,DayTime,evening
40,112,1,DayTime,morning
21,113,1,DayTime,evening
17,114,1,DayTime,night
19,115,1,DayTime,morning
23,116,1,DayTime,night
46,117,1,DayTime,evening
38,118,1,DayTime,morning
10,119,1,DayTime,night
47,120,1,DayTime,morning
25,121,1,DayTime,night
37,122,1,DayTime,morning
14,123,1,DayTime,night
48,124,1,DayTime,morning
15,125,1,DayTime,afternoon
44,41,1,DayTime,afternoon
29,41,1,DayTime,morning
5,126,1,DayTime,night
27,127,1,DayTime,night
5,128,1,DayTime,night
8,129,1,DayTime,night
38,130,1,DayTime,morning
12,131,1,DayTime,afternoon
5,132,1,DayTime,night
5,133,1,DayTime,night
20,134,1,DayTime,night
49,135,1,DayTime,night
11,136,1,DayTime,morning
10,137,1,DayTime,night
50,138,1,DayTime,evening
35,139,1,DayTime,morning
5,140,1,DayTime,night
37,141,1,DayTime,morning
5,142,1,DayTime,night
51,143,1,DayTime,night
49,144,1,DayTime,night
5,145,1,DayTime,night
25,67,1,DayTime,night
44,146,1,DayTime,afternoon
21,147,1,DayTime,evening
27,148,1,DayTime,night
29,149,1,DayTime,morning
10,150,1,DayTime,night
52,118,1,DayTime,night
14,151,1,DayTime,night
5,152,1,DayTime,night
49,153,1,DayTime,night
48,154,1,DayTime,morning
5,155,1,DayTime,night
15,156,1,DayTime,afternoon
5,157,1,DayTime,night
48,158,1,DayTime,morning
12,159,1,DayTime,afternoon
28,160,1,DayTime,morning
25,161,1,DayTime,night
7,162,1,DayTime,morning
43,163,1,DayTime,morning
10,164,1,DayTime,night
17,165,1,DayTime,night
53,166,1,DayTime,morning
15,167,1,DayTime,afternoon
12,168,1,DayTime,afternoon
54,169,1,DayTime,afternoon
38,170,1,DayTime,morning
22,171,1,DayTime,evening
55,172,1,DayTime,night
29,173,1,DayTime,morning
5,174,1,DayTime,night
9,37,1,DayTime,night
15,175,1,DayTime,afternoon
12,176,1,DayTime,afternoon
29,177,1,DayTime,morning
23,21,1,DayTime,night
10,178,1,DayTime,night
17,179,1,DayTime,night
9,180,1,DayTime,night
15,181,1,DayTime,afternoon
40,29,1,DayTime,morning
5,182,1,DayTime,night
28,183,1,DayTime,morning
5,184,1,DayTime,night
5,185,1,DayTime,night
31,186,1,DayTime,night
15,187,1,DayTime,afternoon
19,188,1,DayTime,morning
44,120,1,DayTime,afternoon
21,189,1,DayTime,evening
23,190,1,DayTime,night
54,191,1,DayTime,afternoon
40,192,1,DayTime,morning
19,193,1,DayTime,morning
