userID,songID,rating,dimension,condition
1,3059,5,activity,sleeping
1,5310,4,activity,running
1,5333,4,activity,sleeping
1,2140,2,mood,sad
1,3262,5,mood,happy
1,4475,4,activity,sleeping
1,1780,3,activity,relaxing
1,1999,4,activity,relaxing
1,5564,1,activity,relaxing
1,2028,2,activity,running
1,2545,4,activity,sleeping
1,5739,1,activity,running
1,4524,2,activity,sleeping
1,1490,3,activity,running
1,1108,4,activity,sleeping
1,2282,4,activity,walking
1,3675,3,activity,relaxing
1,2814,4,activity,running
1,4582,1,activity,walking
1,4986,1,activity,walking
1,922,1,activity,walking
1,102,1,activity,sleeping
1,2767,4,activity,running
1,4134,5,activity,running
1,2349,4,activity,sleeping
1,1948,1,activity,relaxing
1,3615,5,activity,sleeping
1,4256,5,mood,happy
1,1026,3,mood,sad
1,5407,1,mood,sad
1,2995,4,mood,happy
1,271,4,activity,sleeping
1,891,5,activity,walking
1,4965,3,activity,walking
1,3683,4,mood,sad
1,3002,1,mood,sad
1,941,5,mood,sad
1,5824,1,activity,sleeping
1,3954,1,activity,relaxing
1,1907,1,activity,running
1,5343,1,mood,happy
1,1197,5,mood,happy
1,3738,5,activity,running
1,174,2,activity,running
1,5121,4,mood,sad
1,1882,5,mood,happy
1,5360,2,activity,relaxing
1,4051,2,activity,relaxing
1,463,3,mood,sad
1,495,5,mood,happy
1,3846,5,mood,happy
1,919,1,activity,relaxing
1,4490,4,activity,sleeping
1,5579,2,mood,happy
1,1187,2,mood,sad
1,909,3,activity,walking
1,3229,3,mood,sad
1,3031,5,activity,running
1,2636,3,activity,relaxing
1,3892,4,activity,running
1,2517,5,activity,relaxing
1,4408,4,activity,running
1,4939,2,mood,sad
1,2628,5,activity,relaxing
1,1191,4,activity,running
1,1018,3,activity,running
1,4294,5,activity,walking
1,532,2,mood,happy
1,2533,3,mood,sad
1,3437,2,activity,sleeping
1,4464,1,activity,running
1,1667,1,activity,sleeping
1,4296,2,mood,happy
1,5538,2,mood,happy
1,5503,5,activity,walking
1,3052,1,activity,relaxing
1,5831,2,activity,walking
1,1148,3,activity,walking
1,2065,5,activity,walking
1,3722,1,activity,relaxing
1,3696,3,mood,sad
1,2496,3,activity,running
1,2092,5,activity,relaxing
1,3776,5,mood,happy
1,2034,2,activity,walking
1,1834,1,mood,happy
1,5502,4,activity,sleeping
1,3775,3,mood,sad
1,5190,3,activity,sleeping
1,4582,1,mood,happy
1,469,4,mood,sad
1,104,1,activity,running
1,1933,1,activity,running
1,155,5,mood,happy
1,553,4,activity,relaxing
1,1404,5,mood,sad
1,1989,2,activity,sleeping
1,1483,4,mood,happy
1,1198,5,activity,sleeping
1,4744,5,activity,sleeping
1,1342,5,activity,walking
1,2514,1,activity,running
1,802,2,activity,relaxing
1,2380,3,activity,relaxing
1,1129,4,activity,sleeping
1,2219,2,activity,running
1,5443,4,activity,running
1,5158,1,activity,running
1,2457,3,activity,walking
1,4541,4,activity,relaxing
1,2558,1,activity,running
1,1920,1,mood,happy
1,1903,1,activity,sleeping
1,4289,4,activity,relaxing
1,2776,5,activity,walking
1,1403,5,activity,relaxing
1,1631,1,activity,running
1,2909,1,activity,walking
1,4578,2,activity,relaxing
1,5694,5,activity,walking
1,3496,4,activity,running
1,3795,2,mood,happy
1,242,2,mood,sad
1,1762,1,mood,happy
1,1353,2,mood,sad
1,1844,4,activity,relaxing
1,3873,5,activity,running
1,5152,2,activity,relaxing
1,463,3,activity,sleeping
1,4145,2,activity,walking
1,850,3,mood,sad
1,4561,4,activity,walking
1,3672,4,activity,sleeping
1,5738,3,activity,running
1,2122,5,mood,happy
1,3514,3,mood,happy
1,3129,1,activity,running
1,3400,5,activity,sleeping
1,2015,1,activity,running
1,3019,4,activity,walking
1,4801,5,activity,running
1,3516,1,activity,sleeping
1,5477,4,mood,happy
1,5260,4,activity,running
1,4585,2,mood,happy
1,4534,1,activity,walking
1,2114,1,activity,sleeping
1,217,1,activity,walking
1,2496,5,mood,happy
1,3251,1,activity,walking
2,2042,2,mood,sad
2,5710,5,activity,sleeping
2,801,5,mood,sad
2,2764,4,activity,walking
2,1572,2,activity,sleeping
2,801,3,mood,happy
2,725,1,activity,relaxing
2,4511,5,activity,relaxing
2,5517,3,mood,happy
2,3540,1,mood,happy
2,1472,3,activity,relaxing
2,2250,3,activity,sleeping
2,2205,4,activity,walking
2,5770,2,mood,sad
2,348,3,mood,happy
2,3919,1,activity,relaxing
2,565,2,activity,sleeping
2,3071,5,activity,walking
2,3992,5,activity,running
2,5336,5,mood,sad
2,4236,2,activity,sleeping
2,465,4,activity,sleeping
2,277,1,activity,walking
2,1738,2,mood,happy
2,5485,1,activity,sleeping
2,1870,4,activity,relaxing
2,1616,5,mood,happy
2,5721,4,mood,sad
2,398,1,mood,happy
2,1121,2,mood,sad
2,809,2,mood,happy
2,2661,3,activity,sleeping
2,1536,5,activity,sleeping
2,3307,5,mood,sad
2,3431,4,activity,running
2,5163,1,activity,relaxing
2,4945,3,activity,sleeping
2,3337,1,activity,running
2,553,2,activity,running
2,2224,2,activity,relaxing
2,1721,5,activity,walking
2,2200,4,activity,running
2,5744,1,mood,sad
2,38,4,activity,sleeping
2,1450,3,activity,walking
2,5528,1,activity,walking
2,3520,2,mood,happy
2,1801,5,mood,sad
2,2921,4,activity,relaxing
2,2710,5,activity,walking
2,4967,4,activity,running
2,2664,2,activity,running
2,633,2,mood,sad
2,3458,5,activity,relaxing
2,1124,5,activity,sleeping
2,309,4,activity,running
2,2921,3,mood,happy
2,3502,3,mood,sad
2,5852,5,mood,happy
2,539,5,activity,relaxing
2,714,5,mood,sad
2,463,2,activity,sleeping
2,5757,2,mood,happy
2,5161,4,activity,running
2,470,2,mood,sad
2,3348,4,activity,walking
2,2414,5,activity,walking
2,3952,1,mood,happy
2,327,3,mood,happy
2,308,5,activity,walking
2,5780,3,mood,sad
2,4586,5,activity,walking
2,3249,4,activity,running
2,4648,1,activity,running
2,2988,2,activity,walking
2,2349,4,activity,sleeping
2,3873,4,mood,sad
2,2309,1,activity,sleeping
2,4255,1,activity,relaxing
2,2021,5,activity,walking
2,1504,3,activity,relaxing
2,4604,5,activity,running
2,2758,2,mood,sad
2,2477,4,mood,happy
2,5163,2,mood,happy
2,1690,2,activity,walking
2,1159,4,activity,running
2,3276,3,mood,happy
2,2645,3,activity,running
2,5476,5,activity,sleeping
2,636,3,activity,running
2,3249,1,activity,walking
2,677,2,mood,sad
2,4394,2,mood,happy
2,1539,2,activity,sleeping
2,584,3,activity,sleeping
2,3605,5,activity,relaxing
2,1254,4,activity,relaxing
2,3495,5,mood,sad
2,5565,5,activity,running
2,1532,5,activity,relaxing
2,944,5,activity,sleeping
2,1274,5,activity,walking
2,2417,5,mood,sad
2,1239,3,activity,relaxing
2,4906,1,activity,relaxing
2,1202,4,activity,relaxing
2,5483,3,activity,relaxing
2,2771,3,mood,happy
2,3708,4,activity,walking
2,2833,2,mood,happy
2,3316,1,activity,sleeping
2,2405,1,mood,sad
2,829,3,activity,relaxing
2,838,1,activity,relaxing
2,2590,5,activity,sleeping
2,2903,1,activity,walking
2,3428,2,mood,happy
2,3633,1,mood,sad
2,2041,1,activity,walking
2,912,3,activity,walking
2,1977,1,mood,happy
2,840,5,mood,happy
2,2981,1,mood,happy
2,1694,3,activity,walking
2,3799,3,mood,sad
2,3666,2,mood,sad
2,2658,3,activity,sleeping
2,2402,1,mood,happy
2,2997,3,mood,sad
2,2075,3,activity,sleeping
2,1929,1,activity,relaxing
2,4251,5,mood,happy
2,3598,2,activity,relaxing
2,2743,2,activity,relaxing
2,4977,4,mood,happy
2,5430,3,activity,relaxing
2,5340,1,activity,running
2,5220,5,activity,running
2,179,1,mood,happy
2,3790,3,activity,walking
2,1022,1,activity,walking
2,2164,3,activity,relaxing
2,2533,3,activity,running
2,3476,4,activity,running
2,1147,1,activity,relaxing
2,5828,4,activity,sleeping
2,4290,2,activity,relaxing
2,5741,2,activity,sleeping
2,1894,5,activity,relaxing
2,256,3,activity,relaxing
2,3921,4,activity,sleeping
2,2196,2,mood,happy
2,3170,2,activity,running
2,3965,3,activity,running
2,5172,5,activity,relaxing
2,2291,5,activity,running
2,147,4,activity,relaxing
2,471,4,activity,sleeping
2,4466,1,activity,sleeping
2,1504,2,activity,walking
2,99,5,mood,happy
2,346,2,activity,relaxing
2,4636,5,activity,running
2,3881,2,mood,sad
2,1548,2,mood,happy
3,3236,4,activity,walking
3,3952,3,mood,sad
3,931,5,mood,sad
3,5545,4,activity,sleeping
3,4400,5,mood,happy
3,4451,1,activity,sleeping
3,3220,5,activity,running
3,1627,1,activity,relaxing
3,1550,1,activity,running
3,4019,1,activity,relaxing
3,181,5,mood,sad
3,4870,4,activity,relaxing
3,1612,5,mood,happy
3,1158,5,activity,running
3,5637,3,mood,happy
3,3664,5,activity,relaxing
3,1507,1,mood,happy
3,4943,3,mood,happy
3,4570,4,activity,running
3,2156,2,mood,sad
3,1425,2,activity,running
3,4106,2,activity,sleeping
3,938,1,mood,sad
3,1841,5,activity,relaxing
3,26,3,activity,relaxing
3,5135,1,mood,sad
3,2949,2,mood,sad
3,461,3,mood,sad
3,868,2,activity,running
3,2017,4,activity,sleeping
3,4447,3,activity,running
3,4572,5,activity,sleeping
3,1877,5,activity,walking
3,2508,5,mood,happy
3,703,2,activity,walking
3,4290,4,activity,running
3,4238,5,activity,running
3,5230,5,activity,sleeping
